Pdf url,Case Name,Jurisdiction of Settlement,Type of Settlement,Monetary Sanctions,Offenses-Alleged,Summary
https://star.worldbank.org/corruption-cases/printpdf/19783,ABB Ltd. (Matter #15) / Fernando Maya Basurto,Mexico,Criminal,Criminal Forfeiture,"federal investigation, Bribery of foreign officials, Currency transaction structuring","According to the June 2011 United States Report to the OECD, in 2005 ABB Ltd. self-reported to the US authorities that its Texan subsidiary ABB Inc. (which did business as ABB Network Management) may have made corrupt payments to public officials in Mexico to obtain contracts with the Comision Federal de Electricidad, a Mexian state-owned utility company. The bribe payments were allegedly funnelled through a Mexican company that ABB NM hired, as well as through a company controlled by its representatives. Mr. Basurto was an agent/intermediary; he pleaded guilty to charged offenses on November 16, 2009. (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, ABB Ltd. Case Summary (#15) at 37-39.) According to his plea agreement, Mr. Basurto ""agrees to forfeit to the United States in the form of a money judgment against him, voluntarily and immediately, all of his right, title and interest to all assets, and/or their substitutes, which are subject to forfeiture pursuant to Title 18, United States Code, Section 981(a)(1)(C), Title 21 United States Code, Section 853, and Title 28, United States Code, Section 2461 as follows: the sum of $2,030,076.74. The defendant's forfeiture obligation shall be joint and several with that of his co-conspirators."" (Source: US v. Basurto, Case No. 4:09-cr-325 (S.D. Tex.), Plea Agreement filed November 23, 2009, para 10.) On April 11, 2012, the $2,030,076.74 was forfeited to the United States. (Source: US v. Basurto, Case No. 4_09-cr-325 (S.D. Tex.), Order of Forfeiture filed April 11, 2012 and Judgment in a Criminal Case filed April 5, 2012.) The US Department of Justice Press Release acknowledged the assistance of the ""Federal Republic of Germany for supplying evidence in connection with this investigation."" (Source: US Department of Justice Press Release, ""Former General Manager of Texas Business Arrested for Role in Alleged Scheme to Bribe Officials at Mexican State-Owned Electrical Utility / Mexican Intermediary Pleads Guilty for His Role in Foreign Bribery Scheme,"" November 23, 2009.)"
https://star.worldbank.org/corruption-cases/printpdf/19789,ABB Ltd. (Matter #76) / John H. Whelan,Nigeria,Civil,"Disgorgement of Profits, Prejudgment Interest, Civil Penalty","controls violations, Aiding and abetting ABB's falsification of books and records","According to the June 2011 United States Report to the OECD, regarding the ABB Ltd. case, ""In a related case, on July 5, 2006, the Commission filed a settled civil complaint charging four former employees of ABB Ltd. subsidiaries with violating the anti-bribery provisions of the FCPA. The Commission's complaint alleged that the four former employees -- John Samson, a former regional sales manager for West Africa, John G. A. Munro, a former senior vice president of operations, Ian N. Campbell, a former vice president of finance, and John H. Whelan, a former vice president of sales -- participated in a scheme to offer, approve, and/or pay bribes to Nigerian government officials in furtherance of ABB?s bid to obtain a $180 million contract to provide equipment for an oil drilling project in Nigeria's offshore Bonga Oil Samson, Munro, Campbell, and Whelan consented to the entry of final judgments that: (1) permanently enjoined each of them from future violations of the FCPA; (2) ordered each to pay a civil monetary penalty ($50,000 as to Samson, and $40,000 each as to Munro, Campbell and Whelan); and (3) ordered Samson to pay $64,675 in disgorgement and prejudgment interest."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, ABB Ltd. Case Summary (#76) at 114-116.)"
https://star.worldbank.org/corruption-cases/printpdf/19786,"ABB Ltd. (Matter #76) / ABB Vetco Gray, Inc.",Nigeria,Criminal,Criminal Fine,Bribery of foreign officials,"According to the US Department of Justice Press Release, ""The criminal information charges https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26NAPIMS, a Nigerian government agency that evaluates and approves potential bidders for contract work on oil exploration projects in Nigeria, including bidders seeking subcontracts with foreign oil and gas companies. According to the stipulated statement of facts, the companies paid more than $1 million in exchange for obtaining confidential bid information and favorable recommendations from Nigerian government agencies in connection with seven oil and gas construction contracts in Nigeria from which the companies expected to realize profits of almost $12 million."" The companies entered guilty pleas and agreed to each pay $5.25 million in criminal fines. (Source: US Department of Justice Press Release, ""ABB Vetco Gray, Inc. and ABB Vetco Gray UK Ltd. Plead Guilty to Foreign Bribery Charges,"" July 6, 2004.)"
https://star.worldbank.org/corruption-cases/printpdf/19815,AMEC plc,Unspecified,Civil,"Civil Recovery Order, Legal Costs","Inaccurate books and records, in violation of Section 221 of Companies Act 1985","According to the October 26, 2009 press release by the UK Serious Fraud Office (SFO), AMEC made a referral to the SFO in March 2008, following an internal investigation into the receipt of irregular payments made between November 2005 and March 2007, and a Consent Order agreed before the High Court on October 26, 2009, AMEC agreed to a not possible to make any further comment as there is an ongoing criminal investigationinto related matters."" (Source: UK Serious Fraud Office Press Release, ""SFO Obtains Civil Recovery Order against AMEC plc,"" October 26, 2009, accessed at http://www.sfo.gov.uk/press-room/latest-press-releases/press-releases-2009/sfo-obtains-civil-recovery-order-against-amec-plc.aspx.) AMEC's announcement on the settlement noted that the payments totalled some US $9 million and was associated with the last remaining Private-Public Partnership project and the division it belonged to was divested in mid-2007. (Source: AMEC plc, ""AMEC plc - Statement on civil recovery order,"" October 26, 2009, accessed at http://www.amec.com/media/news_releases/2009/AMEC_statement_on_civil_recovery_order.htm). Media reports that the project in question was the Incheon Bridge project in South Korea. (Source: Simon Bowers, ""Amec and Serious Fraud Office settle $9m 'irregular receipts' case,"" The Guardian, October 26, 2009, accessed at http://www.guardian.co.uk/business/2009/oct/26/amec-sfo-settlement/print.)"
https://star.worldbank.org/corruption-cases/printpdf/19785,ABB Ltd. (Matter #76) / ABB Vetco Gray UK Ltd.,Nigeria,Criminal,Criminal Fine,Bribery of foreign officials,"According to the US Department of Justice Press Release, ""The criminal information charges https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26NAPIMS, a Nigerian government agency that evaluates and approves potential bidders for contract work on oil exploration projects in Nigeria, including bidders seeking subcontracts with foreign oil and gas companies. According to the stipulated statement of facts, the companies paid more than $1 million in exchange for obtaining confidential bid information and favorable recommendations from Nigerian government agencies in connection with seven oil and gas construction contracts in Nigeria from which the companies expected to realize profits of almost $12 million."" The companies entered guilty pleas and agreed to each pay $5.25 million in criminal fines. (Source: US Department of Justice Press Release, ""ABB Vetco Gray, Inc. and ABB Vetco Gray UK Ltd. Plead Guilty to Foreign Bribery Charges,"" July 6, 2004.)"
https://star.worldbank.org/corruption-cases/printpdf/19784,ABB Ltd. (Matter #76),"Nigeria, Kazakhstan, Angola",Civil,"Disgorgement of Pofits, Prejudgment Interest","Bribery of foreign officials, Internal controls violations, Books and records violations","According to the US Securities and Exchange Commission Litigation Release, ""On July 6, 2004, the Securities and Exchange Commission filed a settled enforcement action in the United States District Court for the District of Columbia charging ABB Ltd, a global provider of power and automation technologies headquartered in Zurich, Switzerland, with violating the anti-bribery, books-and-records, and internal-accounting-controls provisions of the Foreign Corrupt Practices Act (FCPA). Simultaneously with the filing of the complaint, and without admitting or denying its allegations, ABB consented to the entry of a final judgment enjoining it from future FCPA violations, and requiring it (i) to pay $5.9 million in disgorgement and prejudgment interest, (ii) to pay a $10.5 million penalty, which would be deemed satisfied by two of its affiliates' payments of criminal fines totaling the same amount in parallel criminal proceedings brought by the Department of Justice; and (iii) to retain an independent consultant to review the company's FCPA compliance policies and procedures. In its complaint, the Commission charged that, from 1998 through early 2003, ABB's U.S. and foreign-based subsidiaries doing business in Nigeria, Angola and Kazakhstan, offered and made illicit payments totaling over $1.1 million to government officials in these countries. According to the complaint, all of the payments were made to influence acts and decisions by the foreign officials receiving the payments, in order to assist ABB's subsidiaries in obtaining and retaining business."" (Source: US Securities and Exchange Commission, Litigation Release No. 18775 / July 6, 2004, ""SEC SUES ABB LTD IN FOREIGN BRIBERY CASE / ABB SETTLES FEDERAL COURT ACTION AND AGREES TO DISGORGE $5.9 MILLION IN ILLICIT PROFITS / TWO ABB AFFILIATES ALSO PLEAD GUILTY AND AGREE TO PAY $10.5 MILLION IN FINES IN CRIMINAL CASE BROUGHT BY THE DEPARTMENT OF (U.S.D.C., D.D.C.)"
https://star.worldbank.org/corruption-cases/printpdf/19814,AMAC International / Shu Quan-Sheng,China,Criminal,Criminal Forfeiture,"Bribery of foreign officials, Unlawful export of a defense article","https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#$386https://star.worldbank.org/corruption-cases/articleglossary/#740https://star.worldbank.org/corruption-cases/articleglossary/#Art.16According to the US Department of Justice Report to Congress, Appendix C ""Summaries of Foreign Corrupt Practices Act Enforcement Actions by the United States, January 1, 1998 - September 30, 2010,"" AMAC International, at 56-57, accessed at www.justice.gov/criminal/fraud/fcpa/docs/response3-appx-c.pdf: Time period of misconduct in China 2003-2007; native Chinese physicist Shu Quan-Sheng allegedly offered illicit payments worth $189,300 to officials within the PRC's 101st Research Institute, a component of the China Academy of Launch Vehicle Technology prior to the awarding of a $4 million project contract and that the successful brokering of the deal between AMAC and a French company (identified only as ""French Company A"" in criminal information) earned Shu and AMAC a commission. Resulting criminal enforcement action: US v. Shu Quan-Sheng (E.D. Va., November 12, 2008)."
https://star.worldbank.org/corruption-cases/printpdf/19813,Alstom S.A. / Alstom Network Schweiz AG and other Swiss subsidiaries,"Latvia, Malaysia, Tunisia",Criminal,"Criminal Fine, Confiscation of Profits, Legal Costs",2 Swiss Criminal Code in conjunction with Art. 322 of the Swiss Criminal Code\,"According to the Summary Punishment Order of the Office of the Swiss Attorney General, agreements with pure offshore and shell companies in the cases relevant to the current basis of such consultancy agreements into the accounts of offshore and shell companies both nationally and abroad, i.e. into accounts located outside the project country, meant that there was a higher risk, as a matter of principle not tolerated by internal guidelines, that such payments could be used for bribery or for other illegal purposes."" (Source: Summary Punishment Order at para 10.) According to the Summary Punishment Order, this misconduct continued after active foreign bribery sanctions entered into effect, and ""It must be held in the necessary and reasonable precautions to prevent the bribery of foreign public officials, as a result of which bribery of foreign public officials did in fact occur in three cases."" (Source: Summary Punishment Order at para 11.) (1) In Latvia, from 2006 onwards, bribe payments were funnelled to legal entities SIA Energy Consulting (Latvia) and Kenmore OU (Estonia) controlled by Andrejs Livanovics, a former Alstom business development manager for the Baltics but the beneficiaries of the success fees were executives of the state owned company LATVENERGO AS who were decisively involved in decisions related to awarding contracts; (2) in Tunisia, ""consultancy"" payments to companies controlled by Slim CHIBOUB, a son-in-law of the former President of Tunisia; the companies were Roserton Overseas SA (Panama) and Dalmel Trading, Inc. (BVI); and (3) in Malaysia, in connection with the state-licensed Teknologi Tenaga Perlis Consortium Sdtn Bhd, Alstom companies were used as intermediary companies for ""consulting agreements"" for which the beneficiaries were TTPC executives Chee Liang TI and Abdul Hamid PAWANTEH (latter was also a local politician in the constituent state of Perlis where the power station was to be built). The involved Alstom companies were: in Latvia - Alstom Power Sweden AB and Alstom Hydro Sweden AB; in Tunisia - Alstom Power Centrales; in Malaysia - Alstom Schweiz AG and Alstom power O&M AG. Alstom was fined CHF 2.5 million; compensatory claim of CHF 36.4 million; and CHF 95,217,70 in procedural fees. (Source: Office of the Swiss Attorney General, Summary Punishment Order, in the Investigation of Alstom Network Schweiz AG, November 22, 2011.) According to a statement by Alstom, the Swiss Attorney General issued a dismissal order regarding any other proceedings against Alstom; and the company decided not to challenge the decision of the Attorney General. (Source: Alstom Company Statement, ""The Swiss Office of Attorney General confirms the absence of any bribery system at Alstom. It fines the company for 'corporate negligence' in three isolated cases,"" November 22, 2011.)"
https://star.worldbank.org/corruption-cases/printpdf/19812,"Alstom S.A. / Alstom Hydro France, Alstom Network Schweiz AG (Switzerland)",Zambia,Administrative,Restitution,Improper payment to an entity controlled by a former senior government official,"According to the Workd Bank press release dated February 22, 2012, ""The World Bank Group today announced the debarment of Alstom Hydro France and Alstom Network Schweiz AG (Switzerland) - in addition to their affiliates - for a period of three years following Alstom?s acknowledgment of misconduct in relation to a Bank-financed hydropower project. The debarment is part of a Negotiated Resolution Agreement between Alstom and the World Bank which also includes a restitution payment by the two companies totaling approximately $9.5 million. The debarment can be reduced to 21 months - with enhanced oversight - if the payment of €110,000, to an entity controlled by a former senior government official for consultancy services in relation to the World Bank-financed Zambia Power Rehabilitation Project. During the debarment period of Alstom Hydro France and Alstom Network Schweiz AG, Alstom SA and its other affiliates are conditionally non-debarred. Under the Agreement, Alstom SA, Alstom Hydro France, Alstom Network Schweiz AG and their affiliates commit to cooperating with the World Bank?s Integrity Vice Presidency and continuing to improve their internal compliance program. The debarment of Alstom Hydro France and Alstom Network Schweiz qualifies for cross-debarment by other MDBs under the Agreement of Mutual Recognition of Debarments that was signed on April 9, 2010."" (Source: The World Bank Press Release No: 2012/282/INT, ""Enforcing Accountability: World Bank Debars Alstom Hydro France, Alstom Network Schweiz AG, and their Affiliates,"" February 22, 2012.)"
https://star.worldbank.org/corruption-cases/printpdf/19811,Alstom S.A. (Switzerland),"Latvia, Malaysia, Tunisia",Criminal,Reparation,Art. 102 Criminal Code \(Liability for acts committed by subsidiary\,"According to the Press Release issued by the Swiss Office of Attorney General, ""As far as the proceedings were also brought against Alstom SA, based in France, they have been dismissed with regard to the actions in Latvia, Tunisia and Malaysia based on Art. 53 SCC, imposing on the company the costs of the proceedings allotted to Alstom SA in this regard. In the opinion of the OAG, Alstom SA as the senior holding company is responsible in part for the organizational deficiencies identified. However, after payment of CHF 1 m as reparation and bearing the remaining costs of the proceedings by Alstom SA, the OAG refrained from sanctioning Alstom SA in addition to Alstom Network Schweiz AG regarding the established acts of bribery. It did so particularly considering the demonstrated willingness to cooperate and the considerable improvements in the internal compliance procedures before and after the opening of the investigations.Within the proceedings against Alstom Network Schweiz AG and Alstom SA, the OAG in close cooperation with the Federal Criminal Police investigated further twelve projects in the power station sector, divided over all continents. In this regard, it in some part detected additional breaches of internal compliance regulations. Despite considerable investigative efforts however, no additional acts of bribery could be established for the time after article 102 SCC had come into effect. The proceedings against the two defendant Alstom entities for these additionally investigated twelve projects were dismissed due to the lack of any criminal conduct (Art. 319(1)(a) Swiss Code of Criminal Procedure) and due to the lack of criminal liability of the companies prior to October 2003 (Art. 319(1)(b) Swiss Code of Criminal Procedure), without granting compensation and by imposing the costs m paid by Alstom SA as reparation under Art. 53 SCC was transferred to the International Committee of the Red Cross. One-third of these funds each shall be used in projects of the ICRC in Tunisia, Latvia and Malaysia respectively. The costs allotted for the part of the proceedings resulting in the dismissal amount to about CHF 90,000 and have been imposed on the two Alstom companies for which they are jointly liable. Due to Alstom renouncing to appeal, this decision also has become legally binding."" (Source: The Office of the Attorney General Press Release, ""Criminal proceedings against Alstom entities are brought to a close,"" November 22, 2011.) Please note that the CHF 90,000 in costs of the proceedings have been included only in the Alstom Network Schweiz AG entry so as to prevent double counting of the sum."
https://star.worldbank.org/corruption-cases/printpdf/19810,Allied Products Corporation / David Ray Rothrock,Russia,Criminal,None,Falsification of books and records,"According to the US Department of Justice Report to Congress, Appendix C ""Summaries of Foreign Corrupt Practices Act Enforcement Actions by the United States, January 1, 1998 - September 30, 2010,"" Allied Products Corporation, at 120-121, accessed at https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16www.justice.gov/criminal/fraud/fcpa/docs/response3-appx-c.pdf and Information in US v. David Ray Rothrock, Case No. 5:01-cr-00343-OLG (W.D. Tex., June 13, 2001): Rothrock was the vice president of the Cooper Division of Allied Products Corporation with responsibility for international sales. He pleaded guilty to one count of falsifying his employer's corporate books and records. The Cooper Division agreed to pay a sales commission of $282,076 to a third party company (Trading and Business Services Ltd., an entity with principal business in Moscow; Biel, Switzerland; and Houston and co-owned by ""Nestro"" and Comco Holding AG, a Swiss company) for ultimate benefit of the Director General of RVO Zarubezhneftstroy (""Nestro""), a Soviet government purchasing agency, in order to obtain a contract for the sale of 20 workover rigs to Nestro. Rothrock, in 2002, created false invoice that was purported to come from a company called ""Educa"" in Vienna, Austria but that he knew was for TBS. Rothrock pleaded guilty and on September 20, 2001, he was sentenced to one year probation and ordered to pay court assessment of $100. His presentencing report was sealed on September 24, 2001. (Sources: US v. Daniel Ray Rothrock, Case No. 5:01-cr-00343-OLG (W.D. Tex.), Information filed on June 13, 2001; Plea agreement filed June 13, 2011 and Judgment of September 20, 2001 and Court Docket Report, all accessed at Fcpa.Shearman.com, Case Summary Page, US v. David Ray Rothrock, http://fcpa.shearman.com/index.php."
https://star.worldbank.org/corruption-cases/printpdf/19807,"Alliance One International, Inc. / Alliance One Tobacco Osh LLC","Kyrgyzstan, Thailand, Malawi, Greece, Indonesia, Mozambique, China",Criminal,Criminal Fine,falsification of books and records,"According to the June 2011 United States Report to the OECD, ""On August 6, 2010, two foreign subsidiaries of Alliance One International, Inc. (Alliance One), a global tobacco leaf merchant headquartered in Morrisville, N.C., were charged in separate three-count criminal informations with conspiring to violate the FCPA, violating the anti-bribery provisions of the FCPA, and violating the books and records provisions of the FCPA. On the same date, the SEC filed a settled civil action against Alliance One in the U.S. District Court for the District of country manager, was charged with one-count of conspiring to violate the FCPA's anti-bribery provisions. Elkin, along with three other former Alliance One employees, was also charged by the SEC in a settled civil enforcement action filed on April 28, 2010.The criminal and civil charges filed against Alliance One, its subsidiaries, and former employees stem from bribery schemes in multiple countries,"" including from 1996 to 2004, $3 million in bribes to various officials in the Republic of Kyrgyzstan, including officials of the Kyrgyz Tamekisi, a government entity which controlled and regulated the tobacco industry in Kyrgyzstan as well as provincial and tax officials; from 2000 to 2004, more than $1.2 millionin bribes to the Thailand Tobacco Monopoly officials; in China and Thailand, gifts and entertainment to goernmetn officials; in Greece, $96,000 cash payment to a Greek tax official which resulted in a reduced tax payment from EUR 2.5 million to approximately EUR 600,000; in Indonesia, cash payment of approximately $44,000 to an Indonesian tax official in exchange for terminating an audit and obtaining a tax refund of $67,000. (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, Alliance One International, Inc. Case Summary at 41-45.)"
https://star.worldbank.org/corruption-cases/printpdf/19809,"Alliance One International, Inc. / Bobby Jay Elkin, Jr.",Kyrgyzstan,Criminal,Criminal Fine,Conspiracy to bribe foreign officials,"According to the June 2011 United States Report to the OECD, ""On August 6, 2010, two foreign subsidiaries of Alliance One International, Inc. (Alliance One), a global tobacco leaf merchant headquartered in Morrisville, N.C., were charged in separate three-count criminal https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16informations with conspiring to violate the FCPA, violating the anti-bribery provisions of the FCPA, and violating the books and records provisions of the FCPA. On the same date, the SEC filed a settled civil action against Alliance One in the U.S. District Court for the District of country manager, was charged with one-count of conspiring to violate the FCPA's anti-bribery provisions. Elkin, along with three other former Alliance One employees, was also charged by the SEC in a settled civil enforcement action filed on April 28, 2010.The criminal and civil charges filed against Alliance One, its subsidiaries, and former employees stem from bribery schemes in multiple countries,"" including from 1996 to 2004, $3 million in bribes to various officials in the Republic of Kyrgyzstan, including officials of the Kyrgyz Tamekisi, a government entity which controlled and regulated the tobacco industry in Kyrgyzstan as well as provincial and tax officials; from 2000 to 2004, more than $1.2 millionin bribes to the Thailand Tobacco Monopoly officials; in China and Thailand, gifts and entertainment to goernmetn officials; in Greece, $96,000 cash payment to a Greek tax official which resulted in a reduced tax payment from EUR 2.5 million to approximately EUR 600,000; in Indonesia, cash payment of approximately $44,000 to an Indonesian tax official in exchange for terminating an audit and obtaining a tax refund of $67,000. (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, Alliance One International, Inc. Case Summary at 41-45.)"
https://star.worldbank.org/corruption-cases/printpdf/19808,"Alliance One International, Inc. / Bobby Jay Elkin Jr, Baxter J. Myers, Thomas G. Reynolds, Tommy L. Williams","Kyrgyzstan, Thailand, Malawi, Greece, Indonesia, Mozambique, China",Civil,Civil Penalty,and abetting Alliance's internal controls violations,"According to the June 2011 United States Report to the OECD, ""On August 6, 2010, two foreign subsidiaries of Alliance One International, Inc. (Alliance One), a global tobacco leaf merchant headquartered in Morrisville, N.C., were charged in separate three-count criminal informations with conspiring to violate the FCPA, violating the anti-bribery provisions of the FCPA, and violating the books and records provisions of the FCPA. On the same date, the SEC filed a settled civil action against Alliance One in the U.S. District Court for the District of country manager, was charged with one-count of conspiring to violate the FCPA's anti-bribery provisions. Elkin, along with three other former Alliance One employees, was also charged by the SEC in a settled civil enforcement action filed on April 28, 2010.The criminal and civil charges filed against Alliance One, its subsidiaries, and former employees stem from bribery schemes in multiple countries,"" including from 1996 to 2004, $3 million in bribes to various officials in the Republic of Kyrgyzstan, including officials of the Kyrgyz Tamekisi, a government entity which controlled and regulated the tobacco industry in Kyrgyzstan as well as provincial and tax officials; from 2000 to 2004, more than $1.2 millionin bribes to the Thailand Tobacco Monopoly officials; in China and Thailand, gifts and entertainment to goernmetn officials; in Greece, $96,000 cash payment to a Greek tax official which resulted in a reduced tax payment from EUR 2.5 million to approximately EUR 600,000; in Indonesia, cash payment of approximately $44,000 to an Indonesian tax official in exchange for terminating an audit and obtaining a tax refund of $67,000. The Report noted that ""On April 28, 2010, the SEC filed a settled civil action against Elkin, Myers, Reynolds, and Williams, which permanently enjoined them from future violations of the FCPA. Myers and Reynolds were each required to pay a $40,000 civil penalty. The settlement against Elkin takes into account his cooperation with the Commission?s investigation."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, Alliance One International, Inc. Case Summary at 41-45.)"
https://star.worldbank.org/corruption-cases/printpdf/19806,"Alliance One International, Inc. / Alliance One International, AG","Kyrgyzstan, Thailand, Malawi, Greece, Indonesia, Mozambique, China",Criminal,Criminal Fine,records,"According to the June 2011 United States Report to the OECD, ""On August 6, 2010, two foreign subsidiaries of Alliance One International, Inc. (Alliance One), a global tobacco leaf merchant headquartered in Morrisville, N.C., were charged in separate three-count criminal informations with conspiring to violate the FCPA, violating the anti-bribery provisions of the FCPA, and violating the books and records provisions of the FCPA. On the same date, the SEC filed a settled civil action against Alliance One in the U.S. District Court for the District of country manager, was charged with one-count of conspiring to violate the FCPA's anti-bribery provisions. Elkin, along with three other former Alliance One employees, was also charged by the SEC in a settled civil enforcement action filed on April 28, 2010.The criminal and civil charges filed against Alliance One, its subsidiaries, and former employees stem from bribery schemes in multiple countries,"" including from 1996 to 2004, $3 million in bribes to various officials in the Republic of Kyrgyzstan, including officials of the Kyrgyz Tamekisi, a government entity which controlled and regulated the tobacco industry in Kyrgyzstan as well as provincial and tax officials; from 2000 to 2004, more than $1.2 million in bribes to the Thailand Tobacco Monopoly officials; in China and Thailand, gifts and entertainment to government officials; in Greece, $96,000 cash payment to a Greek tax official which resulted in a reduced tax payment from EUR 2.5 million to approximately EUR 600,000; in Indonesia, cash payment of approximately $44,000 to an Indonesian tax official in exchange for terminating an audit and obtaining a tax refund of $67,000. (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, Alliance One International, Inc. Case Summary at 41-45.)"
https://star.worldbank.org/corruption-cases/printpdf/19805,"Alliance One International, Inc.","Kyrgyzstan, Thailand, Malawi, Greece, Indonesia, Mozambique, China",Criminal,None,Conspiracy to bribe foreign officials,"According to the June 2011 United States Report to the OECD, ""On August 6, 2010, two foreign subsidiaries of Alliance One International, Inc. (Alliance One), a global tobacco leaf https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26merchant headquartered in Morrisville, N.C., were charged in separate three-count criminal informations with conspiring to violate the FCPA, violating the anti-bribery provisions of the FCPA, and violating the books and records provisions of the FCPA. On the same date, the SEC filed a settled civil action against Alliance One in the U.S. District Court for the District of country manager, was charged with one-count of conspiring to violate the FCPA's anti-bribery provisions. Elkin, along with three other former Alliance One employees, was also charged by the SEC in a settled civil enforcement action filed on April 28, 2010.The criminal and civil charges filed against Alliance One, its subsidiaries, and former employees stem from bribery schemes in multiple countries,"" including from 1996 to 2004, $3 million in bribes to various officials in the Republic of Kyrgyzstan, including officials of the Kyrgyz Tamekisi, a government entity which controlled and regulated the tobacco industry in Kyrgyzstan as well as provincial and tax officials; from 2000 to 2004, more than $1.2 millionin bribes to the Thailand Tobacco Monopoly officials; in China and Thailand, gifts and entertainment to government officials; in Greece, $96,000 cash payment to a Greek tax official which resulted in a reduced tax payment from EUR 2.5 million to approximately EUR 600,000; in Indonesia, cash payment of approximately $44,000 to an Indonesian tax official in exchange for terminating an audit and obtaining a tax refund of $67,000. (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, Alliance One International, Inc. Case Summary at 41-45.)"
https://star.worldbank.org/corruption-cases/printpdf/19804,"Alliance One International, Inc.","Kyrgyzstan, Thailand, Malawi, Greece, Indonesia, Mozambique, China",Civil,Disgorgement of Profits,"Bribery of foreign officials, Falsification of books and records, Internal controls violations","According to DOJ Report to Congress, ""Appendix C: Summaries of Foreign Corrupt Practices Act Enforcement Actions by the United States, January 1, 1998 - September 30, 2010,"" Resulting Criminal Enforcement Actions: In Re Alliance One International, Inc. (August 6, 2010); U.S. v. Alliance One Tobacco Osh, LLC: Docket No. 10-CR-016-JLK (W.D. Va., August 6, 2010); U.S. v. Alliance One International AG: Docket No. 10-CR-017-JLK (W.D. Va., August 6, 2010); U.S. v. Bobby Jay Elkin, Jr.: Docket No. 10-CR-015-JLK (W.D. Va., August 3, 2010); Resulting Civil/Administrative Enforcement Action(s): SEC v. Alliance One International, Inc. (D.D.C., August 6, 2010); SEC v. Bobby Jay Elkin, Jr., et al. (D.D.C., April 28, 2010), Please note that the court docket numbers are from DOJ/Fraud/FCPA Enforcement Actions website (http://www.justice.gov/criminal/fraud/fcpa/cases/a.html) and complete list of entities and individuals charged are in DOJ Report to Congress Appendix C, ""Alliance One International, Inc."" at 9-11, which also notes Location and Time Period of Misconduct: Kyrgystan, 1996-2004; Thailand, 2000-2004; Malawi, 2002-2003; Greece, 2003; Indonesia, 2003; Mozambique, 2004-2007; China and Thailand, 2005."
